code|description|category
0742|Veterinary Services|Agricultural Services
0763|Agricultural Cooperatives|Agricultural Services
0780|Landscaping and Horticultural Services|Agricultural Services
1520|General Contractors – Residential and Commercial|Contracted Services
1711|Heating, Plumbing, and Air Conditioning Contractors|Contracted Services
1731|Electrical Contractors|Contracted Services
1740|Masonry, Stonework, Tile Setting, Plastering, and Insulation|Contracted Services
1750|Carpentry Contractors|Contracted Services
1761|Roofing, Siding, and Sheet Metal Work|Contracted Services
1771|Concrete Work Contractors|Contracted Services
1799|Special Trade Contractors|Contracted Services
2741|Miscellaneous Publishing and Printing|Contracted Services
2791|Typesetting, Plate Making, and Related Services|Contracted Services
2842|Specialty Cleaning, Polishing, and Sanitation Preparations|Contracted Services
4011|Railroads|Transportation
4111|Local/Suburban Commuter Passenger Transportation|Transportation
4112|Passenger Railways|Transportation
4119|Ambulance Services|Transportation
4121|Taxicabs and Limousines|Transportation
4131|Bus Lines|Transportation
4214|Motor Freight Carriers and Trucking|Transportation
4215|Courier Services|Transportation
4225|Public Warehousing and Storage|Transportation
4411|Steamship and Cruise Lines|Transportation
4457|Boat Rentals and Leases|Transportation
4468|Marinas, Marine Service, and Supplies|Transportation
4511|Airlines, Air Carriers|Transportation
4582|Airports, Flying Fields, and Airport Terminals|Transportation
4722|Travel Agencies and Tour Operators|Transportation
4784|Toll and Bridge Fees|Transportation
4789|Transportation Services (Not Elsewhere Classified)|Transportation
4812|Telecommunication Equipment|Utilities
4814|Telecommunication Services|Utilities
4816|Computer Network/Information Services|Utilities
4821|Telegraph Services|Utilities
4829|Money Orders – Wire Transfer|Financial Services
4899|Cable, Satellite, and Other Pay Television/Radio Services|Utilities
4900|Utilities – Electric, Gas, Water, Sanitary|Utilities
5013|Motor Vehicle Supplies and New Parts|Wholesale Distribution
5021|Office and Commercial Furniture|Wholesale Distribution
5039|Construction Materials (Not Elsewhere Classified)|Wholesale Distribution
5044|Photographic, Photocopy, Microfilm Equipment and Supplies|Wholesale Distribution
5045|Computers, Peripherals, and Software|Wholesale Distribution
5046|Commercial Equipment (Not Elsewhere Classified)|Wholesale Distribution
5047|Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies|Wholesale Distribution
5051|Metal Service Centers|Wholesale Distribution
5065|Electrical Parts and Equipment|Wholesale Distribution
5072|Hardware, Equipment, and Supplies|Wholesale Distribution
5074|Plumbing and Heating Equipment and Supplies|Wholesale Distribution
5085|Industrial Supplies (Not Elsewhere Classified)|Wholesale Distribution
5099|Durable Goods (Not Elsewhere Classified)|Wholesale Distribution
5111|Stationery, Office Supplies, Printing and Writing Paper|Wholesale Distribution
5122|Drugs, Drug Proprietaries, and Druggist Sundries|Wholesale Distribution
5131|Piece Goods, Notions, and Other Dry Goods|Wholesale Distribution
5137|Uniforms, Commercial Clothing|Wholesale Distribution
5139|Commercial Footwear|Wholesale Distribution
5169|Chemicals and Allied Products|Wholesale Distribution
5172|Petroleum and Petroleum Products|Wholesale Distribution
5192|Books, Periodicals, and Newspapers|Wholesale Distribution
5193|Florists Supplies, Nursery Stock, and Flowers|Wholesale Distribution
5198|Paints, Varnishes, and Supplies|Wholesale Distribution
5199|Non-Durable Goods (Not Elsewhere Classified)|Wholesale Distribution
5200|Home Supply Warehouse Stores|Retail
5211|Lumber and Building Materials Stores|Retail
5231|Glass, Paint, and Wallpaper Stores|Retail
5251|Hardware Stores|Retail
5261|Nurseries and Lawn/Garden Supply Stores|Retail
5271|Mobile Home Dealers|Retail
5300|Wholesale Clubs|Retail
5309|Duty Free Stores|Retail
5310|Discount Stores|Retail
5311|Department Stores|Retail
5331|Variety Stores|Retail
5399|Miscellaneous General Merchandise Stores|Retail
5411|Grocery Stores, Supermarkets|Retail
5422|Freezer and Locker Meat Provisioners|Retail
5441|Candy, Nut, and Confectionery Stores|Retail
5451|Dairy Products Stores|Retail
5462|Bakeries|Retail
5499|Miscellaneous Food Stores – Convenience Stores and Specialty Markets|Retail
5511|Car and Truck Dealers (New and Used)|Retail
5521|Car and Truck Dealers (Used Only)|Retail
5531|Auto and Home Supply Stores|Retail
5532|Automotive Tire Stores|Retail
5533|Automotive Parts and Accessories Stores|Retail
5541|Service Stations (with or without Ancillary Services)|Retail
5542|Automated Fuel Dispensers|Retail
5551|Boat Dealers|Retail
5561|Camper, Recreational, and Utility Trailer Dealers|Retail
5571|Motorcycle Shops and Dealers|Retail
5592|Motor Homes Dealers|Retail
5598|Snowmobile Dealers|Retail
5599|Miscellaneous Auto Dealers|Retail
5611|Men's and Boys' Clothing and Accessories Stores|Retail
5621|Women's Ready-to-Wear Stores|Retail
